,number,value,datetime_start,datetime_complete,duration,params_a_kernel_size,params_attn_dropout,params_embed_dropout,params_l_kernel_size,params_multimodal_layers,params_out_dropout,state
0,0,0.5858237547892721,2025-09-02 11:36:37.184086,2025-09-02 11:38:52.986142,0 days 00:02:15.802056,1,0.04777459960438102,0.46250185093081636,1,2,0.17178671160360948,COMPLETE
1,1,0.5885057471264368,2025-09-02 11:38:52.987141,2025-09-02 11:43:12.483050,0 days 00:04:19.495909,1,0.11889586007918979,0.36795793662035464,5,5,0.2477340379809821,COMPLETE
2,2,0.5789272030651341,2025-09-02 11:43:12.484999,2025-09-02 11:54:18.503812,0 days 00:11:06.018813,3,0.233060487469602,0.11856606219569449,1,7,0.21757959123876042,COMPLETE
3,3,0.5773946360153257,2025-09-02 11:54:18.504845,2025-09-02 12:08:23.950741,0 days 00:14:05.445896,3,0.3275923636716016,0.07422333644429241,3,8,0.3195725829292529,COMPLETE
4,4,0.5881226053639846,2025-09-02 12:08:23.951743,2025-09-02 12:26:04.662076,0 days 00:17:40.710333,5,0.4082499575867301,0.3847124626187728,3,8,0.04270046315477094,COMPLETE
5,5,0.5858237547892721,2025-09-02 12:26:04.663075,2025-09-02 12:40:52.624526,0 days 00:14:47.961451,5,0.13400431840237143,0.12153836281254327,3,7,0.39465275010769213,COMPLETE
6,6,0.5877394636015326,2025-09-02 12:40:52.625462,2025-09-02 12:45:30.706634,0 days 00:04:38.081172,3,0.3979073165563402,0.4585904585699433,5,1,0.1355613839068041,COMPLETE
7,7,0.5846743295019157,2025-09-02 12:45:30.707630,2025-09-02 12:49:46.414986,0 days 00:04:15.707356,1,0.06542898336262964,0.15015837690903022,1,5,0.16114076066232147,COMPLETE
8,8,0.589272030651341,2025-09-02 12:49:46.415966,2025-09-02 12:57:21.824039,0 days 00:07:35.408073,3,0.32292469094652787,0.3753227374142719,5,7,0.02801364611483459,COMPLETE
9,9,0.5957854406130269,2025-09-02 12:57:21.825404,2025-09-02 12:59:59.299638,0 days 00:02:37.474234,3,0.03447580513638615,0.08566292132188547,3,1,0.06366737090309244,COMPLETE
