,number,value,datetime_start,datetime_complete,duration,params_a_kernel_size,params_attn_dropout,params_embed_dropout,params_l_kernel_size,params_multimodal_layers,params_out_dropout,params_trans_dropout,params_trans_layers,state
0,0,0.5789272030651341,2025-09-07 08:03:37.214993,2025-09-07 08:08:52.670426,0 days 00:05:15.455433,1,0.17178671160360948,0.15523847093492205,1,6,0.001004919974548768,0.46250185093081636,1,COMPLETE
1,1,0.5842911877394636,2025-09-07 08:08:52.672418,2025-09-07 08:13:01.284466,0 days 00:04:08.612048,3,0.06325315560395173,0.3033246597503303,1,2,0.233060487469602,0.3922126744045578,4,COMPLETE
2,2,0.5647509578544061,2025-09-07 08:13:01.285463,2025-09-07 08:21:02.107134,0 days 00:08:00.821671,3,0.3275923636716016,0.07422333644429241,3,8,0.3195725829292529,0.4191968454868389,4,COMPLETE
3,3,0.5823754789272031,2025-09-07 08:21:02.108138,2025-09-07 08:26:42.434672,0 days 00:05:40.326534,1,0.04270046315477094,0.3325013642483751,5,2,0.3558479249361283,0.3847124626187728,7,COMPLETE
4,4,0.5712643678160919,2025-09-07 08:26:42.435668,2025-09-07 08:35:17.181037,0 days 00:08:34.745369,1,0.39723973814738023,0.43366551396261566,5,7,0.3979073165563402,0.18899220601549993,7,COMPLETE
5,5,0.5816091954022988,2025-09-07 08:35:17.182105,2025-09-07 08:42:24.240394,0 days 00:07:07.058289,1,0.06542898336262964,0.15015837690903022,1,5,0.16114076066232147,0.039666163361261775,6,COMPLETE
6,6,0.5666666666666667,2025-09-07 08:42:24.241444,2025-09-07 08:48:29.180978,0 days 00:06:04.939534,1,0.02801364611483459,0.43710293589341953,5,2,0.1768675169823058,0.3753227374142719,6,COMPLETE
7,7,0.5773946360153257,2025-09-07 08:48:29.185553,2025-09-07 08:55:50.537209,0 days 00:07:21.351656,5,0.3131715597351112,0.004496926289467185,1,8,0.13613177207067068,0.22760317422346432,2,COMPLETE
8,8,0.5731800766283525,2025-09-07 08:55:50.539495,2025-09-07 09:06:17.240206,0 days 00:10:26.700711,3,0.12066926818617146,0.07029541733357014,5,7,0.31782930965139666,0.27289840025683665,8,COMPLETE
9,9,0.5854406130268199,2025-09-07 09:06:17.241529,2025-09-07 09:12:58.063924,0 days 00:06:40.822395,3,0.24371196797532707,0.003833042926494057,3,1,0.2822377827189963,0.19227886205952233,8,COMPLETE
