,number,value,datetime_start,datetime_complete,duration,params_a_kernel_size,params_attn_dropout,params_embed_dropout,params_l_kernel_size,params_multimodal_layers,params_out_dropout,params_trans_dropout,params_trans_layers,state
0,0,0.4727969348659004,2025-09-07 00:33:53.531758,2025-09-07 00:39:22.145018,0 days 00:05:28.613260,1,0.17178671160360948,0.15523847093492205,1,6,0.001004919974548768,0.46250185093081636,1,COMPLETE
1,1,0.4839080459770115,2025-09-07 00:39:22.147012,2025-09-07 00:43:41.891611,0 days 00:04:19.744599,3,0.06325315560395173,0.3033246597503303,1,2,0.233060487469602,0.3922126744045578,4,COMPLETE
2,2,0.48659003831417624,2025-09-07 00:43:41.892609,2025-09-07 00:51:35.803780,0 days 00:07:53.911171,3,0.3275923636716016,0.07422333644429241,3,8,0.3195725829292529,0.4191968454868389,4,COMPLETE
3,3,0.4735632183908046,2025-09-07 00:51:35.804804,2025-09-07 00:57:26.633184,0 days 00:05:50.828380,1,0.04270046315477094,0.3325013642483751,5,2,0.3558479249361283,0.3847124626187728,7,COMPLETE
4,4,0.4704980842911877,2025-09-07 00:57:26.634237,2025-09-07 01:06:19.659160,0 days 00:08:53.024923,1,0.39723973814738023,0.43366551396261566,5,7,0.3979073165563402,0.18899220601549993,7,COMPLETE
5,5,0.4850574712643678,2025-09-07 01:06:19.660219,2025-09-07 01:13:39.455167,0 days 00:07:19.794948,1,0.06542898336262964,0.15015837690903022,1,5,0.16114076066232147,0.039666163361261775,6,COMPLETE
6,6,0.4885057471264368,2025-09-07 01:13:39.456583,2025-09-07 01:19:03.028376,0 days 00:05:23.571793,1,0.02801364611483459,0.43710293589341953,5,2,0.1768675169823058,0.3753227374142719,6,COMPLETE
7,7,0.4888888888888889,2025-09-07 01:19:03.029467,2025-09-07 01:25:58.842147,0 days 00:06:55.812680,5,0.3131715597351112,0.004496926289467185,1,8,0.13613177207067068,0.22760317422346432,2,COMPLETE
8,8,0.4869731800766284,2025-09-07 01:25:58.843149,2025-09-07 01:35:22.335386,0 days 00:09:23.492237,3,0.12066926818617146,0.07029541733357014,5,7,0.31782930965139666,0.27289840025683665,8,COMPLETE
9,9,0.4674329501915709,2025-09-07 01:35:22.336392,2025-09-07 01:41:06.757418,0 days 00:05:44.421026,3,0.24371196797532707,0.003833042926494057,3,1,0.2822377827189963,0.19227886205952233,8,COMPLETE
