,number,value,datetime_start,datetime_complete,duration,params_a_kernel_size,params_attn_dropout,params_embed_dropout,params_l_kernel_size,params_multimodal_layers,params_out_dropout,state
0,0,0.6689655172413793,2025-09-07 06:57:43.345669,2025-09-07 06:59:43.502707,0 days 00:02:00.157038,1,0.04777459960438102,0.46250185093081636,1,2,0.17178671160360948,COMPLETE
1,1,0.6659003831417625,2025-09-07 06:59:43.503728,2025-09-07 07:03:23.536613,0 days 00:03:40.032885,1,0.11889586007918979,0.36795793662035464,5,5,0.2477340379809821,COMPLETE
2,2,0.6674329501915709,2025-09-07 07:03:23.537659,2025-09-07 07:08:20.685119,0 days 00:04:57.147460,3,0.233060487469602,0.11856606219569449,1,7,0.21757959123876042,COMPLETE
3,3,0.6061302681992338,2025-09-07 07:08:20.686211,2025-09-07 07:13:43.338806,0 days 00:05:22.652595,3,0.3275923636716016,0.07422333644429241,3,8,0.3195725829292529,COMPLETE
4,4,0.6574712643678161,2025-09-07 07:13:43.338806,2025-09-07 07:19:01.204016,0 days 00:05:17.865210,5,0.4082499575867301,0.3847124626187728,3,8,0.04270046315477094,COMPLETE
5,5,0.667816091954023,2025-09-07 07:19:01.204016,2025-09-07 07:23:45.255745,0 days 00:04:44.051729,5,0.13400431840237143,0.12153836281254327,3,7,0.39465275010769213,COMPLETE
6,6,0.6291187739463602,2025-09-07 07:23:45.256764,2025-09-07 07:25:10.678291,0 days 00:01:25.421527,3,0.3979073165563402,0.4585904585699433,5,1,0.1355613839068041,COMPLETE
7,7,0.6685823754789272,2025-09-07 07:25:10.679361,2025-09-07 07:28:59.929668,0 days 00:03:49.250307,1,0.06542898336262964,0.15015837690903022,1,5,0.16114076066232147,COMPLETE
8,8,0.6563218390804598,2025-09-07 07:28:59.930959,2025-09-07 07:33:43.819157,0 days 00:04:43.888198,3,0.32292469094652787,0.3753227374142719,5,7,0.02801364611483459,COMPLETE
9,9,0.6505747126436782,2025-09-07 07:33:43.820578,2025-09-07 07:35:11.029294,0 days 00:01:27.208716,3,0.03447580513638615,0.08566292132188547,3,1,0.06366737090309244,COMPLETE
