,number,value,datetime_start,datetime_complete,duration,params_a_kernel_size,params_attn_dropout,params_embed_dropout,params_l_kernel_size,params_multimodal_layers,params_out_dropout,params_trans_dropout,params_trans_layers,state
0,0,0.6593869731800767,2025-09-06 22:26:45.753993,2025-09-06 22:32:35.649763,0 days 00:05:49.895770,1,0.17178671160360948,0.15523847093492205,1,6,0.001004919974548768,0.46250185093081636,1,COMPLETE
1,1,0.6636015325670498,2025-09-06 22:32:35.649763,2025-09-06 22:37:22.033975,0 days 00:04:46.384212,3,0.06325315560395173,0.3033246597503303,1,2,0.233060487469602,0.3922126744045578,4,COMPLETE
2,2,0.664367816091954,2025-09-06 22:37:22.034996,2025-09-06 22:47:15.832431,0 days 00:09:53.797435,3,0.3275923636716016,0.07422333644429241,3,8,0.3195725829292529,0.4191968454868389,4,COMPLETE
3,3,0.6697318007662836,2025-09-06 22:47:15.832431,2025-09-06 22:53:40.781990,0 days 00:06:24.949559,1,0.04270046315477094,0.3325013642483751,5,2,0.3558479249361283,0.3847124626187728,7,COMPLETE
4,4,0.6601532567049808,2025-09-06 22:53:40.782986,2025-09-06 23:04:45.467237,0 days 00:11:04.684251,1,0.39723973814738023,0.43366551396261566,5,7,0.3979073165563402,0.18899220601549993,7,COMPLETE
5,5,0.6666666666666666,2025-09-06 23:04:45.467237,2025-09-06 23:13:44.508563,0 days 00:08:59.041326,1,0.06542898336262964,0.15015837690903022,1,5,0.16114076066232147,0.039666163361261775,6,COMPLETE
6,6,0.6632183908045977,2025-09-06 23:13:44.509560,2025-09-06 23:20:38.644763,0 days 00:06:54.135203,1,0.02801364611483459,0.43710293589341953,5,2,0.1768675169823058,0.3753227374142719,6,COMPLETE
7,7,0.6659003831417625,2025-09-06 23:20:38.645851,2025-09-06 23:30:26.805361,0 days 00:09:48.159510,5,0.3131715597351112,0.004496926289467185,1,8,0.13613177207067068,0.22760317422346432,2,COMPLETE
8,8,0.6720306513409962,2025-09-06 23:30:26.806805,2025-09-06 23:42:36.377092,0 days 00:12:09.570287,3,0.12066926818617146,0.07029541733357014,5,7,0.31782930965139666,0.27289840025683665,8,COMPLETE
9,9,0.6613026819923372,2025-09-06 23:42:36.377092,2025-09-06 23:50:00.594006,0 days 00:07:24.216914,3,0.24371196797532707,0.003833042926494057,3,1,0.2822377827189963,0.19227886205952233,8,COMPLETE
