,number,value,datetime_start,datetime_complete,duration,params_a_kernel_size,params_attn_dropout,params_embed_dropout,params_l_kernel_size,params_multimodal_layers,params_out_dropout,params_v_kernel_size,state
0,0,0.8064024390243902,2025-08-28 19:27:12.740460,2025-08-28 19:48:11.003693,0 days 00:20:58.263233,1,0.04777459960438102,0.46250185093081636,1,2,0.17178671160360948,1,COMPLETE
1,1,0.7865853658536586,2025-08-28 19:48:11.005692,2025-08-28 20:08:40.387415,0 days 00:20:29.381723,3,0.36795793662035464,0.2477340379809821,1,2,0.3922126744045578,3,COMPLETE
2,2,0.7652439024390244,2025-08-28 20:08:40.388457,2025-08-28 21:00:56.415370,0 days 00:52:16.026913,1,0.21757959123876042,0.12183575713772132,5,6,0.19191995427088532,3,COMPLETE
3,3,0.7362804878048781,2025-08-28 21:00:56.419090,2025-08-28 21:46:22.009650,0 days 00:45:25.590560,1,0.3186872822661443,0.3054371470771224,5,6,0.465009276100955,5,COMPLETE
4,4,0.7789634146341463,2025-08-28 21:46:22.009650,2025-08-28 22:40:37.312893,0 days 00:54:15.303243,3,0.3558479249361283,0.4436670929462033,1,7,0.13400431840237143,5,COMPLETE
5,5,0.7926829268292683,2025-08-28 22:40:37.313894,2025-08-28 22:50:52.742577,0 days 00:10:15.428683,3,0.43366551396261566,0.3979073165563402,1,1,0.4585904585699433,5,COMPLETE
6,6,0.8003048780487805,2025-08-28 22:50:52.743577,2025-08-28 23:39:24.053465,0 days 00:48:31.309888,3,0.06542898336262964,0.15015837690903022,1,6,0.16114076066232147,1,COMPLETE
7,7,0.7560975609756098,2025-08-28 23:39:24.053465,2025-08-28 23:56:41.524170,0 days 00:17:17.470705,1,0.3753227374142719,0.02801364611483459,3,2,0.43710293589341953,5,COMPLETE
8,8,0.7942073170731707,2025-08-28 23:56:41.524170,2025-08-29 01:01:48.118574,0 days 01:05:06.594404,1,0.06366737090309244,0.22760317422346432,1,8,0.3131715597351112,1,COMPLETE
9,9,0.7926829268292683,2025-08-29 01:01:48.118574,2025-08-29 02:05:34.412625,0 days 01:03:46.294051,3,0.4605674609730842,0.49951621736107044,1,8,0.27289840025683665,1,COMPLETE
